2025-11-25 11:02:33,020 | INFO    | dnd_bot | Saved character Doge_tm (478122255) inv=["Железный короткий меч", "Кольчужная рубаха"] weapon=None armor=None gold=30
2025-11-25 11:02:33,175 | INFO    | aiogram.event | Update id=589781378 is handled. Duration 168 ms by bot id=8500394417
2025-11-25 11:02:33,969 | INFO    | aiogram.event | Update id=589781379 is handled. Duration 0 ms by bot id=8500394417
2025-11-25 11:02:39,820 | INFO    | aiogram.event | Update id=589781380 is handled. Duration 166 ms by bot id=8500394417
2025-11-25 11:02:41,400 | ERROR   | dnd_bot | Exception in universal_handler
Traceback (most recent call last):
  File "/home/timur/DndBot/main.py", line 409, in universal_handler
    cur.execute("SELECT name FROM items WHERE type = ? AND name IN ({})".format(",".join("?"*len(inv))) if inv else ("SELECT name FROM items WHERE 0",), tuple(inv) if inv else ())
sqlite3.ProgrammingError: Incorrect number of bindings supplied. The current statement uses 3, and there are 2 supplied.
2025-11-25 11:02:41,624 | INFO    | aiogram.event | Update id=589781381 is handled. Duration 224 ms by bot id=8500394417
2025-11-25 11:05:01,237 | WARNING | aiogram.dispatcher | Received SIGINT signal
2025-11-25 11:05:01,238 | INFO    | aiogram.dispatcher | Polling stopped for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 11:05:01,238 | INFO    | aiogram.dispatcher | Polling stopped
2025-11-25 11:05:01,490 | INFO    | dnd_bot | Bot stopped
2025-11-25 13:02:51,645 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 13:02:51,645 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 13:02:51,645 | INFO    | dnd_bot | Bot starting...
2025-11-25 13:02:51,646 | INFO    | aiogram.dispatcher | Start polling
2025-11-25 13:02:52,060 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 13:03:14,083 | INFO    | dnd_bot | show from Doge_tm (478122255)
2025-11-25 13:03:14,500 | INFO    | aiogram.event | Update id=589781382 is handled. Duration 417 ms by bot id=8500394417
2025-11-25 13:03:21,013 | INFO    | aiogram.event | Update id=589781383 is handled. Duration 264 ms by bot id=8500394417
2025-11-25 13:03:23,907 | INFO    | aiogram.event | Update id=589781384 is handled. Duration 134 ms by bot id=8500394417
2025-11-25 13:03:28,254 | INFO    | aiogram.event | Update id=589781385 is handled. Duration 272 ms by bot id=8500394417
2025-11-25 13:03:32,730 | INFO    | aiogram.event | Update id=589781386 is handled. Duration 166 ms by bot id=8500394417
2025-11-25 13:03:34,748 | INFO    | aiogram.event | Update id=589781387 is handled. Duration 149 ms by bot id=8500394417
2025-11-25 13:03:35,985 | INFO    | aiogram.event | Update id=589781388 is handled. Duration 147 ms by bot id=8500394417
2025-11-25 13:04:45,776 | WARNING | aiogram.dispatcher | Received SIGINT signal
2025-11-25 13:04:45,777 | INFO    | aiogram.dispatcher | Polling stopped for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 13:04:45,777 | INFO    | aiogram.dispatcher | Polling stopped
2025-11-25 13:04:46,029 | INFO    | dnd_bot | Bot stopped
2025-11-25 13:04:49,618 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 13:04:49,619 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 13:04:49,619 | INFO    | dnd_bot | Bot starting...
2025-11-25 13:04:49,619 | INFO    | aiogram.dispatcher | Start polling
2025-11-25 13:04:49,935 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 13:04:52,834 | INFO    | aiogram.event | Update id=589781389 is handled. Duration 470 ms by bot id=8500394417
2025-11-25 13:04:53,767 | INFO    | aiogram.event | Update id=589781390 is handled. Duration 122 ms by bot id=8500394417
2025-11-25 13:04:54,724 | INFO    | aiogram.event | Update id=589781391 is handled. Duration 128 ms by bot id=8500394417
2025-11-25 13:04:56,067 | INFO    | aiogram.event | Update id=589781392 is handled. Duration 138 ms by bot id=8500394417
2025-11-25 13:04:56,744 | INFO    | aiogram.event | Update id=589781393 is handled. Duration 127 ms by bot id=8500394417
2025-11-25 13:04:57,355 | INFO    | aiogram.event | Update id=589781394 is handled. Duration 123 ms by bot id=8500394417
2025-11-25 13:04:57,857 | INFO    | aiogram.event | Update id=589781395 is handled. Duration 133 ms by bot id=8500394417
2025-11-25 13:04:58,379 | INFO    | aiogram.event | Update id=589781396 is handled. Duration 159 ms by bot id=8500394417
2025-11-25 13:04:59,108 | INFO    | dnd_bot | Saved character Doge_tm (478122255) inv=["Железный короткий меч", "Кольчужная рубаха", "Теневая куртка"] weapon=None armor=None gold=30
2025-11-25 13:04:59,231 | INFO    | aiogram.event | Update id=589781397 is handled. Duration 134 ms by bot id=8500394417
2025-11-25 13:05:01,405 | INFO    | dnd_bot | show from Doge_tm (478122255)
2025-11-25 13:05:01,530 | INFO    | aiogram.event | Update id=589781398 is handled. Duration 124 ms by bot id=8500394417
2025-11-25 13:05:04,816 | INFO    | aiogram.event | Update id=589781399 is handled. Duration 201 ms by bot id=8500394417
2025-11-25 13:05:05,839 | INFO    | aiogram.event | Update id=589781400 is handled. Duration 200 ms by bot id=8500394417
2025-11-25 13:05:14,874 | INFO    | aiogram.event | Update id=589781401 is handled. Duration 199 ms by bot id=8500394417
2025-11-25 13:05:16,827 | INFO    | dnd_bot | show from Doge_tm (478122255)
2025-11-25 13:05:17,009 | INFO    | aiogram.event | Update id=589781402 is handled. Duration 181 ms by bot id=8500394417
2025-11-25 13:16:21,106 | WARNING | aiogram.dispatcher | Received SIGINT signal
2025-11-25 13:16:21,107 | INFO    | aiogram.dispatcher | Polling stopped for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 13:16:21,107 | INFO    | aiogram.dispatcher | Polling stopped
2025-11-25 13:16:21,359 | INFO    | dnd_bot | Bot stopped
2025-11-25 13:16:53,229 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 13:16:53,230 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 13:16:53,230 | INFO    | dnd_bot | Bot starting...
2025-11-25 13:16:53,230 | INFO    | aiogram.dispatcher | Start polling
2025-11-25 13:16:53,600 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 13:17:00,833 | INFO    | dnd_bot | show from Doge_tm (478122255)
2025-11-25 13:17:01,198 | INFO    | aiogram.event | Update id=589781403 is handled. Duration 365 ms by bot id=8500394417
2025-11-25 13:17:06,555 | INFO    | aiogram.event | Update id=589781404 is handled. Duration 135 ms by bot id=8500394417
2025-11-25 13:17:07,483 | INFO    | aiogram.event | Update id=589781405 is handled. Duration 154 ms by bot id=8500394417
2025-11-25 13:17:11,247 | INFO    | aiogram.event | Update id=589781406 is handled. Duration 194 ms by bot id=8500394417
2025-11-25 13:17:12,789 | INFO    | aiogram.event | Update id=589781407 is handled. Duration 224 ms by bot id=8500394417
2025-11-25 13:17:14,531 | INFO    | aiogram.event | Update id=589781408 is handled. Duration 151 ms by bot id=8500394417
2025-11-25 13:17:17,013 | INFO    | aiogram.event | Update id=589781409 is handled. Duration 155 ms by bot id=8500394417
2025-11-25 13:17:19,886 | INFO    | dnd_bot | show from Doge_tm (478122255)
2025-11-25 13:17:20,024 | INFO    | aiogram.event | Update id=589781410 is handled. Duration 137 ms by bot id=8500394417
2025-11-25 13:17:35,706 | INFO    | aiogram.event | Update id=589781411 is handled. Duration 182 ms by bot id=8500394417
2025-11-25 13:17:37,188 | INFO    | aiogram.event | Update id=589781412 is handled. Duration 137 ms by bot id=8500394417
2025-11-25 13:17:38,188 | INFO    | aiogram.event | Update id=589781413 is handled. Duration 222 ms by bot id=8500394417
2025-11-25 13:17:39,660 | INFO    | dnd_bot | show from Doge_tm (478122255)
2025-11-25 13:17:39,846 | INFO    | aiogram.event | Update id=589781414 is handled. Duration 185 ms by bot id=8500394417
2025-11-25 13:22:23,900 | WARNING | aiogram.dispatcher | Received SIGINT signal
2025-11-25 13:22:23,901 | INFO    | aiogram.dispatcher | Polling stopped for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 13:22:23,902 | INFO    | aiogram.dispatcher | Polling stopped
2025-11-25 13:22:24,153 | INFO    | dnd_bot | Bot stopped
2025-11-25 13:33:32,980 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 13:33:32,980 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 13:33:32,980 | INFO    | dnd_bot | Bot starting...
2025-11-25 13:33:32,980 | INFO    | aiogram.dispatcher | Start polling
2025-11-25 13:33:33,291 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 13:33:36,642 | INFO    | dnd_bot | show from Doge_tm (478122255)
2025-11-25 13:33:37,432 | INFO    | aiogram.event | Update id=589781415 is handled. Duration 790 ms by bot id=8500394417
2025-11-25 13:42:03,187 | INFO    | aiogram.event | Update id=589781416 is handled. Duration 0 ms by bot id=8500394417
2025-11-25 13:42:17,758 | INFO    | aiogram.event | Update id=589781417 is handled. Duration 118 ms by bot id=8500394417
2025-11-25 13:42:24,116 | INFO    | dnd_bot | show from Doge_tm (478122255)
2025-11-25 13:42:24,286 | INFO    | aiogram.event | Update id=589781418 is handled. Duration 170 ms by bot id=8500394417
2025-11-25 13:42:41,828 | INFO    | aiogram.event | Update id=589781419 is handled. Duration 142 ms by bot id=8500394417
2025-11-25 13:52:49,714 | INFO    | aiogram.event | Update id=589781420 is handled. Duration 122 ms by bot id=8500394417
2025-11-25 14:34:29,799 | WARNING | aiogram.dispatcher | Received SIGINT signal
2025-11-25 14:34:29,807 | INFO    | aiogram.dispatcher | Polling stopped for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 14:34:29,807 | INFO    | aiogram.dispatcher | Polling stopped
2025-11-25 14:34:30,058 | INFO    | dnd_bot | Bot stopped
2025-11-25 16:01:02,369 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 16:01:02,370 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 16:01:43,509 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 16:01:43,509 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 16:01:43,510 | INFO    | dnd_bot | Seeding stores
2025-11-25 16:05:34,134 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 16:05:34,135 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 16:06:07,271 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 16:06:07,271 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 16:06:19,341 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-25 16:06:19,342 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-25 16:06:19,367 | INFO    | dnd_bot | Seeding stores
2025-11-25 16:06:19,369 | INFO    | dnd_bot | Seeding items
2025-11-25 16:06:19,371 | INFO    | dnd_bot | Bot starting...
2025-11-25 16:06:19,372 | INFO    | aiogram.dispatcher | Start polling
2025-11-25 16:06:19,708 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 16:06:35,443 | INFO    | aiogram.event | Update id=589781421 is handled. Duration 340 ms by bot id=8500394417
2025-11-25 16:06:38,173 | INFO    | aiogram.event | Update id=589781422 is handled. Duration 117 ms by bot id=8500394417
2025-11-25 16:06:42,134 | INFO    | aiogram.event | Update id=589781423 is handled. Duration 128 ms by bot id=8500394417
2025-11-25 16:31:30,812 | ERROR   | aiogram.dispatcher | Failed to fetch updates - TelegramUnauthorizedError: Telegram server says - Unauthorized
2025-11-25 16:31:30,813 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8500394417)
2025-11-25 16:31:33,498 | ERROR   | aiogram.dispatcher | Failed to fetch updates - TelegramUnauthorizedError: Telegram server says - Unauthorized
2025-11-25 16:31:33,498 | WARNING | aiogram.dispatcher | Sleep for 1.503644 seconds and try again... (tryings = 1, bot id = 8500394417)
2025-11-25 16:31:35,107 | ERROR   | aiogram.dispatcher | Failed to fetch updates - TelegramUnauthorizedError: Telegram server says - Unauthorized
2025-11-25 16:31:35,108 | WARNING | aiogram.dispatcher | Sleep for 2.159337 seconds and try again... (tryings = 2, bot id = 8500394417)
2025-11-25 16:31:37,383 | ERROR   | aiogram.dispatcher | Failed to fetch updates - TelegramUnauthorizedError: Telegram server says - Unauthorized
2025-11-25 16:31:37,383 | WARNING | aiogram.dispatcher | Sleep for 2.705979 seconds and try again... (tryings = 3, bot id = 8500394417)
2025-11-25 16:31:40,516 | ERROR   | aiogram.dispatcher | Failed to fetch updates - TelegramUnauthorizedError: Telegram server says - Unauthorized
2025-11-25 16:31:40,516 | WARNING | aiogram.dispatcher | Sleep for 3.562651 seconds and try again... (tryings = 4, bot id = 8500394417)
2025-11-25 16:31:42,360 | WARNING | aiogram.dispatcher | Received SIGINT signal
2025-11-25 16:31:42,361 | INFO    | aiogram.dispatcher | Polling stopped for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-25 16:31:42,361 | INFO    | aiogram.dispatcher | Polling stopped
2025-11-25 16:31:42,613 | INFO    | dnd_bot | Bot stopped
2025-11-26 09:15:38,674 | DEBUG   | asyncio | Using selector: EpollSelector
2025-11-26 09:15:38,674 | INFO    | dnd_bot | Init DB at: /home/timur/DndBot/dnd.db
2025-11-26 09:15:38,674 | INFO    | dnd_bot | Bot starting...
2025-11-26 09:15:38,675 | INFO    | aiogram.dispatcher | Start polling
2025-11-26 09:15:41,833 | INFO    | aiogram.dispatcher | Run polling for bot @dndTimurBot id=8500394417 - 'DndBotTimur'
2025-11-26 11:14:26,613 | INFO    | aiogram.event | Update id=589781424 is handled. Duration 366 ms by bot id=8500394417
2025-11-26 11:14:47,397 | INFO    | aiogram.event | Update id=589781425 is handled. Duration 125 ms by bot id=8500394417
2025-11-26 11:15:05,619 | INFO    | aiogram.event | Update id=589781426 is handled. Duration 132 ms by bot id=8500394417
2025-11-26 11:15:07,944 | INFO    | aiogram.event | Update id=589781427 is handled. Duration 119 ms by bot id=8500394417
2025-11-26 11:15:10,406 | INFO    | aiogram.event | Update id=589781428 is handled. Duration 122 ms by bot id=8500394417
2025-11-26 11:15:11,716 | INFO    | aiogram.event | Update id=589781429 is handled. Duration 125 ms by bot id=8500394417
